InvoiceNo,CustomerID,Country,StockCode,Description,Quantity,UnitPrice,Revenue,Year,Month
541974,14541.0,United Kingdom,16011,ANIMAL STICKERS,24,0.21,5.04,2011,1
563193,,United Kingdom,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,4,1.24,4.96,2011,8
563195,,United Kingdom,22961,JAM MAKING SET PRINTED,3,3.29,9.870000000000001,2011,8
568650,13505.0,Switzerland,79190D,RETRO PLASTIC DAISY TRAY,15,0.42,6.3,2011,9
542930,14233.0,United Kingdom,20718,RED RETROSPOT SHOPPER BAG,40,1.25,50.0,2011,2
558475,,United Kingdom,22567,20 DOLLY PEGS RETROSPOT,1,2.92,2.92,2011,6
539321,14723.0,United Kingdom,21098,CHRISTMAS TOILET ROLL,2,1.25,2.5,2010,12
577807,15699.0,United Kingdom,21974,SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,11
562145,17656.0,United Kingdom,23227,FILIGREE HEART BUTTERFLY WHITE ,24,1.25,30.0,2011,8
576339,14096.0,United Kingdom,90083,CRYSTAL CZECH CROSS PHONE CHARM,1,1.63,1.63,2011,11
545289,14732.0,United Kingdom,22858,EASTER TIN KEEPSAKE,6,1.65,9.899999999999999,2011,3
569722,12431.0,Australia,22193,RED DINER WALL CLOCK,4,8.5,34.0,2011,10
566778,17961.0,United Kingdom,22439,6 ROCKET BALLOONS ,10,0.65,6.5,2011,9
558295,14481.0,United Kingdom,23080,RED METAL BOX TOP SECRET,2,8.25,16.5,2011,6
573585,,United Kingdom,22154,ANGEL DECORATION 3 BUTTONS ,10,0.83,8.299999999999999,2011,10
568242,14931.0,Channel Islands,22950,36 DOILIES VINTAGE CHRISTMAS,12,1.45,17.4,2011,9
575875,,United Kingdom,23263,SET OF 3 WOODEN HEART DECORATIONS,2,2.46,4.92,2011,11
576066,16898.0,United Kingdom,21934,SKULL SHOULDER BAG,1,1.65,1.65,2011,11
565734,17191.0,United Kingdom,23396,LA JARDIN BOTANIQUE CUSHION COVER,3,3.75,11.25,2011,9
567183,14769.0,United Kingdom,23410,CURIO CABINET LINEN AND LACE ,4,8.15,32.6,2011,9
557311,15700.0,United Kingdom,84596F,SMALL MARSHMALLOWS PINK BOWL,3,0.42,1.26,2011,6
543647,12841.0,United Kingdom,79321,CHILLI LIGHTS,5,5.75,28.75,2011,2
552313,13139.0,United Kingdom,48194,DOORMAT HEARTS,4,7.95,31.8,2011,5
581172,16525.0,United Kingdom,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,24,1.25,30.0,2011,12
552330,12948.0,United Kingdom,20969,RED FLORAL FELTCRAFT SHOULDER BAG,4,3.75,15.0,2011,5
579512,,United Kingdom,84510A,SET OF 4 ENGLISH ROSE COASTERS,1,2.46,2.46,2011,11
559497,,United Kingdom,20711,JUMBO BAG TOYS ,3,4.13,12.39,2011,7
548894,,United Kingdom,22977,DOLLY GIRL CHILDRENS EGG CUP,1,2.46,2.46,2011,4
567850,15067.0,United Kingdom,23353,6 GIFT TAGS VINTAGE CHRISTMAS ,12,0.83,9.959999999999999,2011,9
540473,17284.0,United Kingdom,82578,KITCHEN METAL SIGN,2,0.55,1.1,2011,1
564039,12645.0,Germany,22553,PLASTERS IN TIN SKULLS,12,1.65,19.799999999999997,2011,8
558475,,United Kingdom,85049E,SCANDINAVIAN REDS RIBBONS,1,2.46,2.46,2011,6
553341,16293.0,United Kingdom,21754,HOME BUILDING BLOCK WORD,3,5.95,17.85,2011,5
552666,,United Kingdom,22845,VINTAGE CREAM CAT FOOD CONTAINER,1,12.46,12.46,2011,5
576543,13236.0,United Kingdom,23012,GLASS APOTHECARY BOTTLE PERFUME,4,3.95,15.8,2011,11
560592,13225.0,United Kingdom,21175,GIN + TONIC DIET METAL SIGN,96,2.08,199.68,2011,7
558367,16550.0,United Kingdom,22197,POPCORN HOLDER,16,0.85,13.6,2011,6
553901,14911.0,EIRE,22120,WELCOME  WOODEN BLOCK LETTERS,3,9.95,29.849999999999998,2011,5
571189,13213.0,United Kingdom,22187,GREEN CHRISTMAS TREE CARD HOLDER,12,1.95,23.4,2011,10
536464,17968.0,United Kingdom,21980,PACK OF 12 RED RETROSPOT TISSUES ,1,0.29,0.29,2010,12
543237,,United Kingdom,20675,BLUE POLKADOT BOWL,3,2.46,7.38,2011,2
574699,13040.0,United Kingdom,23517,EMBROIDERED RIBBON REEL REBECCA ,6,2.89,17.34,2011,11
562371,13709.0,United Kingdom,22652,TRAVEL SEWING KIT,10,1.65,16.5,2011,8
551142,17613.0,United Kingdom,23132,SMALL IVORY HEART WALL ORGANISER,2,5.75,11.5,2011,4
554542,15194.0,United Kingdom,22904,CALENDAR PAPER CUT DESIGN,12,2.95,35.400000000000006,2011,5
578781,15872.0,United Kingdom,23191,BUNDLE OF 3 RETRO NOTE BOOKS,1,1.65,1.65,2011,11
570254,16179.0,United Kingdom,23378,PACK OF 12 50'S CHRISTMAS TISSUES,24,0.39,9.36,2011,10
540469,12484.0,Spain,84898F,YELLOW FLOWERS FELT HANDBAG KIT,4,2.1,8.4,2011,1
542231,16714.0,United Kingdom,22813,PACK 3 BOXES BIRD PANNETONE ,4,1.95,7.8,2011,1
553199,17758.0,United Kingdom,22380,TOY TIDY SPACEBOY  ,3,2.1,6.300000000000001,2011,5
546649,,United Kingdom,22379,RECYCLING BAG RETROSPOT ,2,4.96,9.92,2011,3
540355,,United Kingdom,22549,PICTURE DOMINOES,1,2.51,2.51,2011,1
540977,,United Kingdom,15039,SANDALWOOD FAN,30,1.66,49.8,2011,1
539436,,United Kingdom,22473,TV DINNER TRAY VINTAGE PAISLEY,1,11.02,11.02,2010,12
541566,17722.0,United Kingdom,21873,IF YOU CAN'T STAND THE HEAT MUG,36,0.42,15.12,2011,1
576864,12748.0,United Kingdom,22537,MAGIC DRAWING SLATE DINOSAUR,1,0.42,0.42,2011,11
543107,13800.0,United Kingdom,22360,GLASS JAR ENGLISH CONFECTIONERY,6,2.95,17.700000000000003,2011,2
539040,17214.0,United Kingdom,85066,CREAM SWEETHEART MINI CHEST,2,12.75,25.5,2010,12
561471,14911.0,EIRE,23300,GARDENERS KNEELING PAD CUP OF TEA ,24,1.65,39.599999999999994,2011,7
565919,,United Kingdom,22028,PENNY FARTHING BIRTHDAY CARD,2,0.83,1.66,2011,9
545059,14157.0,United Kingdom,22078,RIBBON REEL LACE DESIGN ,1,2.1,2.1,2011,2
580612,,United Kingdom,84988,SET OF 72 PINK HEART PAPER DOILIES,1,3.75,3.75,2011,12
568135,,United Kingdom,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,8.29,8.29,2011,9
566300,18215.0,United Kingdom,85049G,CHOCOLATE BOX RIBBONS ,12,1.25,15.0,2011,9
551561,17422.0,United Kingdom,22569,FELTCRAFT CUSHION BUTTERFLY,4,3.75,15.0,2011,5
557499,16320.0,Unspecified,22627,MINT KITCHEN SCALES,2,8.5,17.0,2011,6
567626,15311.0,United Kingdom,21790,VINTAGE SNAP CARDS,4,0.85,3.4,2011,9
546155,15632.0,United Kingdom,22690,DOORMAT HOME SWEET HOME BLUE ,2,7.95,15.9,2011,3
540262,14045.0,United Kingdom,47591D,PINK FAIRY CAKE CHILDRENS APRON,147,1.65,242.54999999999998,2011,1
541684,15498.0,United Kingdom,22316,200 BENDY SKULL STRAWS,2,1.25,2.5,2011,1
562881,15632.0,United Kingdom,22382,LUNCH BAG SPACEBOY DESIGN ,10,1.65,16.5,2011,8
558860,17975.0,United Kingdom,85107,CUT GLASS T-LIGHT HOLDER OCTAGON,2,2.55,5.1,2011,7
578526,13995.0,United Kingdom,23084,RABBIT NIGHT LIGHT,6,2.08,12.48,2011,11
574852,15493.0,United Kingdom,22699,ROSES REGENCY TEACUP AND SAUCER ,3,2.95,8.850000000000001,2011,11
539492,,United Kingdom,37370,RETRO COFFEE MUGS ASSORTED,1,16.13,16.13,2010,12
550987,,United Kingdom,15044A,PINK PAPER PARASOL ,1,5.79,5.79,2011,4
558237,12867.0,United Kingdom,23198,PANTRY MAGNETIC  SHOPPING LIST,4,1.45,5.8,2011,6
548516,,United Kingdom,22786,CUSHION COVER PINK UNION JACK,3,5.95,17.85,2011,3
545933,13908.0,United Kingdom,21535,RED RETROSPOT SMALL MILK JUG,6,2.55,15.299999999999999,2011,3
581217,,United Kingdom,21327,SKULLS WRITING SET ,2,3.29,6.58,2011,12
576617,,United Kingdom,22294,HEART FILIGREE DOVE  SMALL,2,2.46,4.92,2011,11
575609,17243.0,United Kingdom,48187,DOORMAT NEW ENGLAND,1,8.25,8.25,2011,11
552677,,United Kingdom,84997a,CHILDRENS CUTLERY POLKADOT GREEN ,2,8.29,16.58,2011,5
566219,17426.0,United Kingdom,22569,FELTCRAFT CUSHION BUTTERFLY,8,3.75,30.0,2011,9
570672,12536.0,France,85199L,LARGE HANGING IVORY & RED WOOD BIRD,12,0.65,7.800000000000001,2011,10
554699,12613.0,Germany,21558,SKULL LUNCH BOX WITH CUTLERY ,6,2.55,15.299999999999999,2011,5
574310,13467.0,United Kingdom,22767,TRIPLE PHOTO FRAME CORNICE ,4,9.95,39.8,2011,11
556429,,United Kingdom,21931,JUMBO STORAGE BAG SUKI,6,4.13,24.78,2011,6
574921,16070.0,United Kingdom,22960,JAM MAKING SET WITH JARS,12,3.75,45.0,2011,11
557069,12562.0,France,22035,VINTAGE CARAVAN GREETING CARD ,12,0.42,5.04,2011,6
556201,12347.0,Iceland,23174,REGENCY SUGAR BOWL GREEN,4,4.15,16.6,2011,6
574063,13271.0,United Kingdom,22187,GREEN CHRISTMAS TREE CARD HOLDER,2,1.95,3.9,2011,11
542347,12826.0,United Kingdom,22333,RETROSPOT PARTY BAG + STICKER SET,8,1.65,13.2,2011,1
543911,17829.0,United Arab Emirates,21175,GIN + TONIC DIET METAL SIGN,12,2.55,30.599999999999998,2011,2
579196,14096.0,United Kingdom,21704,BAG 250g SWIRLY MARBLES,5,1.63,8.149999999999999,2011,11
571409,14911.0,EIRE,21915,RED  HARMONICA IN BOX ,12,1.25,15.0,2011,10
550339,17697.0,United Kingdom,21707,FOLDING UMBRELLA BLACKBLUE POLKADOT,4,4.95,19.8,2011,4
538917,17449.0,United Kingdom,85064,CREAM SWEETHEART LETTER RACK,2,5.45,10.9,2010,12
570482,17459.0,United Kingdom,22916,HERB MARKER THYME,1,0.65,0.65,2011,10
571039,16121.0,United Kingdom,22956,36 FOIL HEART CAKE CASES,1,2.1,2.1,2011,10
545000,15281.0,United Kingdom,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,2.95,17.700000000000003,2011,2
560580,14088.0,United Kingdom,48194,DOORMAT HEARTS,14,6.75,94.5,2011,7
552010,14713.0,United Kingdom,21745,GAOLERS KEYS DECORATIVE GARDEN ,1,3.75,3.75,2011,5
579155,18101.0,United Kingdom,21849,SILVER DIAMANTE PEN IN GIFT BOX,2,4.95,9.9,2011,11
560553,13991.0,United Kingdom,23077,DOUGHNUT LIP GLOSS ,20,1.25,25.0,2011,7
549251,14449.0,United Kingdom,84596F,SMALL MARSHMALLOWS PINK BOWL,2,0.42,0.84,2011,4
554376,15719.0,United Kingdom,22551,PLASTERS IN TIN SPACEBOY,2,1.65,3.3,2011,5
562128,16150.0,United Kingdom,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4,4.95,19.8,2011,8
537199,15894.0,United Kingdom,22417,PACK OF 60 SPACEBOY CAKE CASES,1,0.55,0.55,2010,12
536982,,United Kingdom,21866,UNION JACK FLAG LUGGAGE TAG,8,3.36,26.88,2010,12
566901,17434.0,United Kingdom,22847,BREAD BIN DINER STYLE IVORY,4,14.95,59.8,2011,9
580054,18122.0,United Kingdom,22197,POPCORN HOLDER,10,0.85,8.5,2011,12
580283,16133.0,United Kingdom,21991,BOHEMIAN COLLAGE STATIONERY SET,12,1.25,15.0,2011,12
542174,16043.0,United Kingdom,22847,BREAD BIN DINER STYLE IVORY,1,16.95,16.95,2011,1
546771,17515.0,United Kingdom,85059,FRENCH ENAMEL WATER BASIN,2,3.75,7.5,2011,3
559163,,United Kingdom,22756,LARGE YELLOW BABUSHKA NOTEBOOK ,1,2.46,2.46,2011,7
553196,17114.0,United Kingdom,21755,LOVE BUILDING BLOCK WORD,1,5.95,5.95,2011,5
570448,13224.0,United Kingdom,84356,POMPOM CURTAIN,2,6.95,13.9,2011,10
559357,17107.0,United Kingdom,48116,DOORMAT MULTICOLOUR STRIPE,10,6.75,67.5,2011,7
542629,12731.0,France,22398,MAGNETS PACK OF 4 SWALLOWS,48,1.25,60.0,2011,1
570244,14514.0,United Kingdom,22412,METAL SIGN NEIGHBOURHOOD WITCH ,2,2.1,4.2,2011,10
549831,14844.0,United Kingdom,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,0.55,13.200000000000001,2011,4
558709,17338.0,United Kingdom,22567,20 DOLLY PEGS RETROSPOT,2,1.45,2.9,2011,7
579512,,United Kingdom,21935,SUKI  SHOULDER BAG,15,1.63,24.45,2011,11
539185,16470.0,United Kingdom,22617,BAKING SET SPACEBOY DESIGN,1,4.95,4.95,2010,12
572652,15805.0,United Kingdom,23569,TRADTIONAL ALPHABET STAMP SET,4,4.95,19.8,2011,10
543400,14688.0,United Kingdom,22356,CHARLOTTE BAG PINK POLKADOT,10,0.85,8.5,2011,2
581407,13263.0,United Kingdom,22113,GREY HEART HOT WATER BOTTLE,1,4.25,4.25,2011,12
571212,12856.0,United Kingdom,21820,GLITTER HEART GARLAND WITH BELLS ,1,3.75,3.75,2011,10
567184,16033.0,United Kingdom,23293,SET OF 12 FAIRY CAKE BAKING CASES,2,0.83,1.66,2011,9
568319,17389.0,United Kingdom,21588,RETROSPOT GIANT TUBE MATCHES,150,2.1,315.0,2011,9
565767,,United Kingdom,22377,BOTTLE BAG RETROSPOT ,2,4.13,8.26,2011,9
562934,,United Kingdom,21700,BIG DOUGHNUT FRIDGE MAGNETS,6,1.38,8.28,2011,8
575838,13999.0,United Kingdom,22680,FRENCH BLUE METAL DOOR SIGN 5,10,1.25,12.5,2011,11
570521,12371.0,Switzerland,85036C,ROSE 1 WICK MORRIS BOXED CANDLE,6,4.25,25.5,2011,10
537605,16221.0,United Kingdom,21733,RED HANGING HEART T-LIGHT HOLDER,8,2.95,23.6,2010,12
552684,,United Kingdom,22219,LOVEBIRD HANGING DECORATION WHITE ,2,1.63,3.26,2011,5
579095,17988.0,United Kingdom,21137,BLACK RECORD COVER FRAME,1,3.75,3.75,2011,11
546569,14016.0,EIRE,85194S,HANGING SPRING FLOWER EGG SMALL,24,0.65,15.600000000000001,2011,3
551014,13209.0,United Kingdom,22539,MINI JIGSAW DOLLY GIRL,24,0.42,10.08,2011,4
545688,16033.0,United Kingdom,22192,BLUE DINER WALL CLOCK,1,8.5,8.5,2011,3
570718,12518.0,Germany,22534,MAGIC DRAWING SLATE SPACEBOY ,24,0.42,10.08,2011,10
562200,17719.0,United Kingdom,22723,SET OF 6 HERB TINS SKETCHBOOK,4,3.95,15.8,2011,8
565748,14156.0,EIRE,23322,LARGE WHITE HEART OF WICKER,12,2.95,35.400000000000006,2011,9
581188,17735.0,United Kingdom,20728,LUNCH BAG CARS BLUE,10,1.65,16.5,2011,12
560711,17841.0,United Kingdom,22613,PACK OF 20 SPACEBOY NAPKINS,2,0.85,1.7,2011,7
541816,17799.0,United Kingdom,22281,EASTER TREE YELLOW BIRDS,2,5.95,11.9,2011,1
547202,17841.0,United Kingdom,22652,TRAVEL SEWING KIT,1,1.65,1.65,2011,3
551718,,United Kingdom,85099B,JUMBO BAG RED RETROSPOT,1,2.08,2.08,2011,5
555937,12683.0,France,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,1.25,15.0,2011,6
581439,,United Kingdom,22730,ALARM CLOCK BAKELIKE IVORY,1,7.46,7.46,2011,12
552320,13985.0,United Kingdom,23253,16 PIECE CUTLERY SET PANTRY DESIGN,2,15.95,31.9,2011,5
580983,,United Kingdom,22377,BOTTLE BAG RETROSPOT ,1,4.13,4.13,2011,12
548401,14479.0,United Kingdom,22692,DOORMAT WELCOME TO OUR HOME,2,7.95,15.9,2011,3
557621,12444.0,Norway,22495,SET OF 2 ROUND TINS CAMEMBERT ,6,2.95,17.700000000000003,2011,6
559819,12682.0,France,21122,SET/10 PINK POLKADOT PARTY CANDLES,24,1.25,30.0,2011,7
540019,12957.0,United Kingdom,84992,72 SWEETHEART FAIRY CAKE CASES,24,0.55,13.200000000000001,2011,1
543546,,United Kingdom,20711,JUMBO BAG TOYS ,1,4.13,4.13,2011,2
563024,14639.0,United Kingdom,23080,RED METAL BOX TOP SECRET,2,8.25,16.5,2011,8
572999,14560.0,United Kingdom,22236,CAKE STAND 3 TIER MAGIC GARDEN,1,12.75,12.75,2011,10
541111,15687.0,United Kingdom,21974,SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,1
578687,14703.0,United Kingdom,22621,TRADITIONAL KNITTING NANCY,12,1.65,19.799999999999997,2011,11
545691,14161.0,United Kingdom,21754,HOME BUILDING BLOCK WORD,2,5.95,11.9,2011,3
557011,16279.0,United Kingdom,21937,STRAWBERRY   PICNIC BAG,6,2.95,17.700000000000003,2011,6
546791,17716.0,United Kingdom,22621,TRADITIONAL KNITTING NANCY,12,1.45,17.4,2011,3
576590,16240.0,United Kingdom,21890,S/6 WOODEN SKITTLES IN COTTON BAG,12,3.25,39.0,2011,11
577319,17301.0,United Kingdom,22222,CAKE PLATE LOVEBIRD WHITE,1,4.95,4.95,2011,11
548289,13988.0,United Kingdom,21868,POTTING SHED TEA MUG,12,1.25,15.0,2011,3
561917,16904.0,United Kingdom,22117,METAL SIGN HER DINNER IS SERVED ,1,2.95,2.95,2011,8
561820,,United Kingdom,21985,PACK OF 12 HEARTS DESIGN TISSUES ,3,0.83,2.4899999999999998,2011,7
567664,14780.0,United Kingdom,22653,BUTTON BOX ,10,1.95,19.5,2011,9
571283,16533.0,United Kingdom,21169,YOU'RE CONFUSING ME METAL SIGN ,6,1.69,10.14,2011,10
572928,14623.0,United Kingdom,23298,SPOTTY BUNTING,6,4.95,29.700000000000003,2011,10
569137,,United Kingdom,22358,KINGS CHOICE TEA CADDY ,2,5.79,11.58,2011,9
575947,,United Kingdom,23237,SET OF 4 KNICK KNACK TINS LEAF,1,8.29,8.29,2011,11
545890,16782.0,United Kingdom,22327,ROUND SNACK BOXES SET OF 4 SKULLS,6,2.95,17.700000000000003,2011,3
577483,14502.0,United Kingdom,21169,YOU'RE CONFUSING ME METAL SIGN ,1,1.69,1.69,2011,11
557303,12450.0,Spain,23167,SMALL CERAMIC TOP STORAGE JAR ,12,0.83,9.959999999999999,2011,6
551351,14298.0,United Kingdom,22212,FOUR HOOK  WHITE LOVEBIRDS,24,1.69,40.56,2011,4
539436,,United Kingdom,22224,WHITE LOVEBIRD LANTERN,1,5.91,5.91,2010,12
537155,12748.0,United Kingdom,21934,SKULL SHOULDER BAG,1,1.65,1.65,2010,12
543529,18109.0,United Kingdom,82484,WOOD BLACK BOARD ANT WHITE FINISH,2,7.95,15.9,2011,2
536638,16244.0,United Kingdom,22212,FOUR HOOK  WHITE LOVEBIRDS,6,2.1,12.600000000000001,2010,12
544070,15370.0,United Kingdom,84509B,SET OF 4 FAIRY CAKE PLACEMATS,8,3.75,30.0,2011,2
579991,13159.0,United Kingdom,23374,RED SPOT PAPER GIFT BAG,20,0.82,16.4,2011,12
548734,13059.0,United Kingdom,22423,REGENCY CAKESTAND 3 TIER,7,12.75,89.25,2011,4
566787,,United Kingdom,21156,RETROSPOT CHILDRENS APRON,1,4.13,4.13,2011,9
538524,,United Kingdom,90214J,"LETTER ""J"" BLING KEY RING",1,0.85,0.85,2010,12
541522,17419.0,United Kingdom,22626,BLACK KITCHEN SCALES,2,8.5,17.0,2011,1
564534,12748.0,United Kingdom,84558A,3D DOG PICTURE PLAYING CARDS,2,2.95,5.9,2011,8
553925,15370.0,United Kingdom,22057,CERAMIC PLATE STRAWBERRY DESIGN,12,1.49,17.88,2011,5
545901,15834.0,United Kingdom,23127,FELTCRAFT GIRL NICOLE KIT,1,4.95,4.95,2011,3
552676,,United Kingdom,22519,CHILDS GARDEN BRUSH PINK,1,4.13,4.13,2011,5
580983,,United Kingdom,22189,CREAM HEART CARD HOLDER,1,8.29,8.29,2011,12
541104,,United Kingdom,82583,HOT BATHS METAL SIGN,1,4.13,4.13,2011,1
550331,15555.0,United Kingdom,22859,EASTER TIN BUNNY BOUQUET,2,1.65,3.3,2011,4
553570,13756.0,United Kingdom,22028,PENNY FARTHING BIRTHDAY CARD,12,0.42,5.04,2011,5
550714,15249.0,United Kingdom,84913A,SOFT PINK ROSE TOWEL ,4,4.65,18.6,2011,4
537354,12748.0,United Kingdom,21890,S/6 WOODEN SKITTLES IN COTTON BAG,2,2.95,5.9,2010,12
575685,15694.0,United Kingdom,23535,WALL ART BICYCLE SAFETY,18,5.35,96.3,2011,11
578263,17422.0,United Kingdom,23434,3 RAFFIA RIBBONS 50'S CHRISTMAS ,20,0.79,15.8,2011,11
572540,,United Kingdom,22385,JUMBO BAG SPACEBOY DESIGN,2,4.13,8.26,2011,10
575631,15184.0,United Kingdom,20974,12 PENCILS SMALL TUBE SKULL,1,0.65,0.65,2011,11
579561,16115.0,United Kingdom,22993,SET OF 4 PANTRY JELLY MOULDS,4,1.25,5.0,2011,11
567818,14395.0,United Kingdom,23321,SMALL WHITE HEART OF WICKER,8,1.65,13.2,2011,9
551421,14077.0,United Kingdom,21773,DECORATIVE ROSE BATHROOM BOTTLE,1,1.25,1.25,2011,4
567153,14056.0,United Kingdom,23275,SET OF 3 HANGING OWLS OLLIE BEAK,12,1.25,15.0,2011,9
542797,17884.0,United Kingdom,20674,GREEN POLKADOT BOWL,3,1.25,3.75,2011,2
566217,14096.0,United Kingdom,21441,BLUE BIRDHOUSE DECORATION,1,1.63,1.63,2011,9
579093,13081.0,United Kingdom,84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,32,0.42,13.44,2011,11
549260,17790.0,United Kingdom,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,6.95,13.9,2011,4
566060,,United Kingdom,21832,CHOCOLATE CALCULATOR,1,3.29,3.29,2011,9
545797,16225.0,United Kingdom,22892,SET OF SALT AND PEPPER TOADSTOOLS,6,1.25,7.5,2011,3
540372,13081.0,United Kingdom,22111,SCOTTIE DOG HOT WATER BOTTLE,9,4.95,44.550000000000004,2011,1
563915,14224.0,United Kingdom,22085,PAPER CHAIN KIT SKULLS ,1,2.95,2.95,2011,8
548612,13137.0,United Kingdom,84879,ASSORTED COLOUR BIRD ORNAMENT,8,1.69,13.52,2011,4
555929,16525.0,United Kingdom,22169,FAMILY ALBUM WHITE PICTURE FRAME,8,7.65,61.2,2011,6
551014,13209.0,United Kingdom,22535,MAGIC DRAWING SLATE BUNNIES ,24,0.42,10.08,2011,4
568709,15036.0,United Kingdom,16156S,WRAP PINK FAIRY CAKES ,25,0.42,10.5,2011,9
536381,15311.0,United Kingdom,22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,24,1.25,30.0,2010,12
544186,,United Kingdom,20724,RED RETROSPOT CHARLOTTE BAG,1,1.63,1.63,2011,2
540373,13280.0,United Kingdom,21217,RED RETROSPOT ROUND CAKE TINS,1,9.95,9.95,2011,1
559202,13583.0,United Kingdom,21078,SET/20 STRAWBERRY PAPER NAPKINS ,12,0.85,10.2,2011,7
544164,17306.0,United Kingdom,22902,TOTE BAG I LOVE LONDON,50,1.69,84.5,2011,2
570592,,United Kingdom,22731,3D CHRISTMAS STAMPS STICKERS ,1,1.63,1.63,2011,10
581476,12433.0,Norway,21248,DOOR HANGER  MUM + DADS ROOM,12,1.45,17.4,2011,12
562774,13500.0,United Kingdom,22111,SCOTTIE DOG HOT WATER BOTTLE,3,4.95,14.850000000000001,2011,8
551996,16628.0,United Kingdom,21890,S/6 WOODEN SKITTLES IN COTTON BAG,6,3.25,19.5,2011,5
549155,,United Kingdom,90200E,GREEN SWEETHEART BRACELET,2,4.15,8.3,2011,4
550723,17454.0,United Kingdom,20676,RED RETROSPOT BOWL,2,1.25,2.5,2011,4
547397,,United Kingdom,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,2,4.13,8.26,2011,3
562720,15033.0,United Kingdom,23242,TREASURE TIN BUFFALO BILL ,2,2.08,4.16,2011,8
553184,13232.0,United Kingdom,20725,LUNCH BAG RED RETROSPOT,1,1.65,1.65,2011,5
561882,13388.0,United Kingdom,84879,ASSORTED COLOUR BIRD ORNAMENT,8,1.69,13.52,2011,7
548335,14272.0,United Kingdom,21986,PACK OF 12 PINK POLKADOT TISSUES,24,0.29,6.959999999999999,2011,3
539464,17913.0,United Kingdom,84580,MOUSE TOY WITH PINK T-SHIRT,1,3.75,3.75,2010,12
573291,16554.0,United Kingdom,23355,HOT WATER BOTTLE KEEP CALM,4,4.95,19.8,2011,10
558232,17841.0,United Kingdom,22980,PANTRY SCRUBBING BRUSH,4,1.65,6.6,2011,6
565682,14796.0,United Kingdom,21231,SWEETHEART CERAMIC TRINKET BOX,8,1.25,10.0,2011,9
569718,15837.0,United Kingdom,22776,SWEETHEART 3 TIER CAKE STAND ,1,9.95,9.95,2011,10
550532,14606.0,United Kingdom,85169C,EAU DE NIL LOVE BIRD CANDLE,2,1.25,2.5,2011,4
563847,16139.0,United Kingdom,23296,SET OF 6 TEA TIME BAKING CASES,8,1.25,10.0,2011,8
559523,13955.0,United Kingdom,23322,LARGE WHITE HEART OF WICKER,4,2.95,11.8,2011,7
547042,,United Kingdom,90134,OLD ROSE COMBO BEAD NECKLACE,1,2.9,2.9,2011,3
549448,13078.0,United Kingdom,22676,FRENCH BLUE METAL DOOR SIGN 1,10,1.25,12.5,2011,4
554112,17611.0,United Kingdom,22994,TRAVEL CARD WALLET RETROSPOT,1,0.42,0.42,2011,5
559817,,United Kingdom,21528,DAIRY MAID TRADITIONAL TEAPOT ,10,5.79,57.9,2011,7
557130,14005.0,United Kingdom,22045,SPACEBOY GIFT WRAP,25,0.42,10.5,2011,6
570422,14132.0,United Kingdom,22144,CHRISTMAS CRAFT LITTLE FRIENDS,40,1.85,74.0,2011,10
572860,17470.0,United Kingdom,21811,HANGING HEART WITH BELL,48,0.39,18.72,2011,10
543713,,United Kingdom,20719,WOODLAND CHARLOTTE BAG,28,2.46,68.88,2011,2
550625,12619.0,Germany,47599A,PINK PARTY BAGS,100,1.69,169.0,2011,4
553702,13263.0,United Kingdom,23302,KNEELING MAT HOUSEWORK  DESIGN,2,1.65,3.3,2011,5
554827,14646.0,Netherlands,23204,CHARLOTTE BAG APPLES DESIGN,300,0.72,216.0,2011,5
544933,12633.0,Germany,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,2.95,17.700000000000003,2011,2
580027,14178.0,United Kingdom,23002,TRAVEL CARD WALLET SKULLS,1,0.42,0.42,2011,12
541134,15615.0,United Kingdom,20978,36 PENCILS TUBE SKULLS,16,1.25,20.0,2011,1
566559,18044.0,United Kingdom,22191,IVORY DINER WALL CLOCK,2,8.5,17.0,2011,9
580875,17744.0,United Kingdom,84817,DANISH ROSE DECORATIVE PLATE,24,0.39,9.36,2011,12
569846,13422.0,United Kingdom,23000,TRAVEL CARD WALLET TRANSPORT,24,0.42,10.08,2011,10
558475,,United Kingdom,22698,PINK REGENCY TEACUP AND SAUCER,6,5.79,34.74,2011,6
567461,,United Kingdom,23168,CLASSIC CAFE SUGAR DISPENSER,10,3.29,32.9,2011,9
562346,16187.0,United Kingdom,21975,PACK OF 60 DINOSAUR CAKE CASES,24,0.55,13.200000000000001,2011,8
546031,13267.0,United Kingdom,22726,ALARM CLOCK BAKELIKE GREEN,4,3.75,15.0,2011,3
